Nome do filme	Nome Encontrado	Info	Diretor	Roteiro	Elenco	Título Original	Nota
Força de Viver	FORÇA DE VIVER	null	Sean McNamara	Howard Klausner	Cody Linley, Patrick Warburton, Lauren Holly	Hoovey	3.7
O Casamento Dos Meus Sonhos	O CASAMENTO DOS MEUS SONHOS	30 de março de 2001 No cinema / 1h 43min / Romance, Comédia	Adam Shankman	null	Jennifer Lopez, Matthew McConaughey, Bridgette Wilson	The Wedding Planner	3.5
O Amor De Um Pai	O AMOR DE UM PAI	2011 / 1h 45min / Drama, Família	Michael M. Scott	null	Drew Seeley, Brittney Irvin, Ryan McDonald	Freshman Father	null
O Mistério Da Libélula	O MISTÉRIO DA LIBÉLULA	30 de maio de 2002 No cinema / 1h 44min / Drama, Fantasia, Suspense	Tom Shadyac	Mike Thompson, Brandon Camp	Kevin Costner, Kathy Bates, Susanna Thompson	Dragonfly	4.2
Por Favor, Matem Minha Mulher	POR FAVOR MATEM MINHA MULHER		Jim Abrahams, David Zucker, Jerry Zucker	Dale Launer	Danny DeVito, Bette Midler, Judge Reinhold	Ruthless People	null
10 Horas Para o Natal 	10 HORAS PARA O NATAL	10 de dezembro de 2020 No cinema / Família, Comédia	Cris D'Amato	Flavia Guimarães	Luis Lobianco, Giulia Benite, Pedro Miranda (II)	null	2.5
Interlúdio De Amor	INTERLÚDIO DE AMOR	1974 / 1h 47min / Romance, Comédia dramática	Clint Eastwood	null	Clint Eastwood, William Holden, Kay Lenz	Breezy	3.1
A Maldição Da Pantera-Cor-De-Rosa	A MALDIÇÃO DA PANTERA COR DE ROSA	Data de lançamento desconhecida / 1h 49min / Comédia , Policial	Blake Edwards	Blake Edwards	David Niven, Robert Wagner, Herbert Lom	Curse of the Pink Panther	null
Mister Brau: O Filme 	MISTER BRAU - O FILME	2015 diretamente para TV / Comédia	Patrícia Pedrosa, Flavia Lacerda	null	Lázaro Ramos, Taís Araújo, Fernanda de Freitas	null	null
Kung Fu Panda 2	KUNG FU PANDA 3	3 de março de 2016 No cinema / 1h 35min / Animação, Aventura, Comédia, Família	Jennifer Yuh Nelson, Alessandro Carloni	Jonathan Aibel, Glenn Berger	Lúcio Mauro Filho, Jack Black, Dustin Hoffman	null	3.3
Megan Leavey 	MEGAN LEAVEY	maio 2018 / 1h 56min / Biografia, Drama, Guerra	Gabriela Cowperthwaite	Pamela Gray, Annie Mumolo	Kate Mara, Edie Falco, Ramon Rodríguez	null	4.0
Spymate: O Agente Animal	null	null	null	null	null	null	null
Beethoven, O Magnífico	BEETHOVEN, O MAGNÍFICO	1 de outubro de 2021 na Netflix / 1h 27min / Comédia , Família, Drama	Brian Levant	John Hughes, Amy Holden Jones	Charles Grodin, Bonnie Hunt, Nicholle Tom	Beethoven	3.8
Beethoven, O Magnifico	BEETHOVEN, O MAGNÍFICO	1 de outubro de 2021 na Netflix / 1h 27min / Comédia , Família, Drama	Brian Levant	John Hughes, Amy Holden Jones	Charles Grodin, Bonnie Hunt, Nicholle Tom	Beethoven	3.8
Meus Vizinhos São Um Terror	MEUS VIZINHOS SÃO UM TERROR	1989 / 1h 43min / Comédia , Terror, Suspense	Joe Dante	null	Tom Hanks, Bruce Dern, Carrie Fisher	The 'Burbs	3.8
