ID Diretor	Nome Diretor
1	Sean McNamara
2	Adam Shankman
3	Michael Scott
4	Tom Shadyac
5	David Zucker
6	Jim Abrahams
7	Jerry Zucker
8	null
9	Cris D'Amato
10	Clint Eastwood
11	Blake Edwards
12	Maurício Farias
13	Patricia Pedrosa
14	Flávia Lacerda
15	Jennifer Yuh Nelson
16	Gabriela Cowperthwaite
17	Robert Vince
18	Brian Levant
19	Joe Dante
20	Atom Egoyan
21	Richard Stanley
22	John Frankenheimer
23	Kim Ji-hoon
24	Breno Silveira
25	Billy Wilder
26	Tizuka Yamasaki
27	Ken Kwapis
28	Roberto Benigni
29	William Dear
30	Irwin Allen
31	Robert Connolly
32	Emile Ardolino
33	Henry King
34	Franco Amurri
35	Ron Howard
36	Patricia Riggen
37	Paul Hoen
38	Richard Donner
39	Eddie Murphy
40	Irving Cummings
41	Patrice Leconte
42	Kevin Connor
43	Stanley Donen
44	David MacKay
45	Forest Whitaker
46	Randal Kleiser
47	Harold Ramis
48	Walter Lang
49	Frank Tashlin
50	Henry Koster
51	Adriano Stuart
52	Richard Benedict
53	Malcolm D. Lee
54	Kenny Ortega
55	Daniel Filho
56	Sidney Lumet
57	Richard Boddington
58	Penny Marshall
59	Sidney J. Furie
60	Ferdinand Fairfax
61	Robert Wise
62	Frederick de Cordova
63	Joshua Logan
64	Lee H. Katzin
65	Conrad Vernon
66	Andrew Adamson
67	Kelly Asbury
68	Michel Gondry
69	Craig Clyde
70	Peter Howitt
71	Jonathan Frakes
72	Albert Brooks
73	Richard Lester
74	Steven Spielberg
75	Ivan Reitman
76	Antonio Carlos da Fontoura
77	Corey Michael Eubanks
78	Mario Caiano
79	Preston Sturges
80	Steven Brill
81	Stanley Tong
82	John Korty
83	Charles Barton
84	Roy Ward Baker
85	D. J. MacHale
86	Matthew Robbins
87	Michael Lehmann
88	Francis Ford Coppola
89	Simon J. Smith
90	Steve Hickner
91	Steve Rash
92	David R. Ellis
93	Michael Katleman
94	Norman Jewison
95	Raoul Walsh
96	Pierre Adidge
97	Robert Abel
98	Herman Hoffman
99	Gordon Douglas
100	Norman Z. McLeod
101	Daniel Barnz
102	Tony Scott
103	Stan Dragoti
104	Harold Schuster
105	Stewart Schill
106	Todd Holland
107	Bart Freundlich
108	Wolfgang Petersen
109	Norman Taurog
110	Elliott Nugent
111	Juan Antonio Bayona
112	Phil Lord
113	Chris Miller
114	Arthur Hiller
115	Peter Winther
116	Ian Barry
117	Brad Silberling
118	Carroll Ballard
119	John C. Champion
120	Charles Haid
121	Chris Koch
122	Duwayne Dunham
123	Richard A. Colla
124	James Foley
125	Jean Negulesco
126	Andrew Sipes
127	Rod Daniel
128	Amy Heckerling
129	Walter Bernstein
130	Joel Schumacher
131	Cameron Crowe
132	Hal Needham
133	Robert D. Webb
134	Michael Curtiz
135	George Sidney
136	Marcos Bernstein
137	John Pasquin
138	Peter Segal
139	Martin Brest
140	Peter Sattler
141	Don Siegel
142	Robert Ellis Miller
143	Peter R. Hunt
144	Joseph Pevney
145	Jorge Furtado
146	Claudia Castro
147	Bruno Barreto
148	Bob Clark
149	John Irvin
150	Robert Lewis
151	Barry Levinson
152	Mario Andreacchio
153	Bill Bixby
154	Steven Hilliard Stern
155	George Marshall
156	Pedro Antônio
157	Gabriele Muccino
158	Jackie Chan
159	Sylvester Stallone
160	Edward Berger
161	Paul Bogart
162	Richard Thorpe
163	Robert Burke
164	Steve Miner
165	Phil Karlson
166	Alan Rafkin
167	Peter Ramsey
168	Ron Clements
169	John Musker
170	Oz Scott
171	Roberto Berliner
172	Curtis Bernhardt
173	Christian Vuissa
174	George B. Seitz
175	David O. Russell
176	Dedé Santana
177	Evgeniy Emelin
178	Jay Roach
179	Noel Quiñones
180	Alan Alda
181	Spencer Gordon Bennet
182	Thomas Carr
183	D. J. Caruso
184	Shawn Levy
185	John Murlowski
186	Alan Myerson
187	Charles Jarrott
188	Paul Weiland
189	Robert Pulcini
190	Shari Springer Berman
191	Kelly Makin
192	Mick Jackson
193	Ken Annakin
194	Larry Peerce
195	Katja von Garnier
196	Ray Patterson
197	Carl Urbano
198	Roger Young
199	Michael Gordon
200	Rudolph Maté
201	Callie Khouri
202	Cao Hamburger
203	Hugh Wilson
204	Burt Brinckerhoff
205	David Lowell Rich
206	Ronald Neame
207	Nora Ephron
208	Tristram Shapeero
209	Anne Wheeler
210	Allan Eastman
211	Chris Columbus
212	Sidney Miller
213	Ezra Stone
214	Leslie Goodwins
215	Edward Dmytryk
216	Michael Haneke
217	Gareth Evans
218	Tia Brelis
219	Russell Mulcahy
220	Phillip Borsos
221	Konstantin Tkaczenko
222	Gilbert Cates
223	Denzel Washington
224	Holger Haase
225	Bill Meléndez
226	Barry Shear
227	Louis Leterrier
228	Lisa Marie Gamlem
229	John Andreas Andersen
230	Sam Raimi
231	Karey Kirkpatrick
232	Tim Johnson
233	Jim Fall
234	Alan Johnson
235	Ron Underwood
236	Boaz Davidson
237	Josh Becker
238	Jerry Paris
239	Peter Faiman
240	Carlos Saldanha
241	Robert Iscove
242	Wolfgang Reitherman
243	Peter Yates
244	Alexander Hall
245	Peter Werner
246	James Komack
247	Robert Zemeckis
248	Allan Arkush
249	Antonio Margheriti
250	Peter Lord
251	Mark Steven Johnson
252	Darrell Rooney
253	Lynne Southerland
254	Walter Hill
255	Adrian Lyne
256	Paul Newman
257	Seymour Friedman
258	Morton DaCosta
259	Rachel de Queiroz
260	Frank Coraci
261	Dearbhla Walsh
262	Bobby Jean Leonard
263	Stuart Gillard
264	José Eduardo Belmonte
265	William Asher
266	Keenen Ivory Wayans
267	Owen Hurley
268	Charles Lane
269	John Hough
270	Allun Lam
271	Lisa Mulcahy
272	Moacyr Góes
273	Spiro Razatos
274	Dale Launer
275	Daniel Alfredson
276	Fred Gerber
277	Hal Sutherland
278	Herbert B. Leonard
279	Joshua Shelley
280	Charles T. Kanganis
281	Bill Bannerman
282	Jon Turteltaub
283	Shin Sang-ok
284	Mel Brooks
285	Richard Murphy
286	Jan de Bont
287	Rich Thorne
288	Vic Armstrong
289	Francis D. Lyon
290	Terence Fisher
291	Irwin Winkler
292	Gore Verbinski
293	Randall William Cook
294	Andrew Stanton
295	Joe Pytka
296	Daniel Mann
297	Bruno Corbucci
298	Ralph Nelson
299	Daryn Tufts
300	Kevin Lima
301	Bert I. Gordon
302	Theodore J. Flicker
303	Nancy Meyers
304	Shay Kanot
305	Don Bluth
306	Don Chaffey
307	Eric Tsang
308	Tim Story
309	Stephen Frears
310	Melanie Mayron
311	Baltasar Kormákur
312	Martin Scorsese
313	Lewis Gilbert
314	George Miller
315	Chip Rosenbloom
316	Martin Ritt
317	Fred McLeod Wilcox
318	Brenda Chapman
319	Mark Andrews
320	Michael Anderson
321	James Goldstone
322	Andy Fickman
323	Júlia Rezende
324	George T. Miller
325	Savage Steve Holland
326	Ben Stiller
327	Christopher Cain
328	Tim Burton
329	John G. Avildsen
330	Richard Michaels
331	Brett Ratner
332	Marita Grabiak
333	David M. Evans
334	Donald Wrye
335	Sergio Corbucci
336	Howard Hawks
337	Jack Arnold
338	Shuki Levy
339	Alan J. Pakula
340	Mikael Salomon
341	Jessie Nelson
342	Rob Minkoff
343	Tom Vaughan
344	Matthew Diamond
345	Douglas A Pertz
346	Robert Rodriguez
347	Luiz Villaça
348	José Alvarenga Júnior
349	Flávio Migliaccio
