ID Filme	Nome Filme	Duração Filme	Lançamento Filme
1	Força de Viver	31 de janeiro de 2015	1h 31m
2	O Casamento Dos Meus Sonhos	26 de janeiro de 2001	1h 43m
3	O Amor De Um Pai	5 de junho de 2010	null
4	O Misterio Da Libelula	18 de fevereiro de 2002	1h 44m
5	Por Favor, Matem Minha Mulher	27 de junho de 1986	1h 34m
6	10 Horas Para o Natal 	3 de dezembro de 2020	1h 32m
7	Interludio De Amor	18 de novembro de 1973	1h 48m
8	A Maldiçao Da Pantera-Cor-De-Rosa	12 de agosto de 1983	1h 50m
9	Mister Brau: O Filme 	null	null
10	Kung Fu Panda 2	10 de junho de 2011	1h 32m
11	Megan Leavey 	9 de junho de 2017	1h 56m
12	Spymate: O Agente Animal	24 de fevereiro de 2006	1h 21m
13	Beethoven, O Magnifico	3 de abril de 1992	1h 27m
14	Meus Vizinhos Sao Um Terror	17 de fevereiro de 1989	1h 41m
15	Memorias Secretas	23 de outubro de 2015	1h 34m
16	A Ilha Do Dr. Moreau	23 de agosto de 1996	1h 36m
17	Panico Na Torre	25 de dezembro de 2012	2h 2m
18	Pai E Filho	12 de setembro de 2003	null
19	A Valsa Do Imperador	1948	1h 46m
20	Uma Temporada Brilhante	null	null
21	Aparecida: O Milagre	17 de dezembro de 2010	1h 30m
22	O Hospede Quer Bananas	12 de janeiro de 1996	1h 30m
23	Jogada De Mestre 2: Totalmente Radical	5 de outubro de 2001	1h 27m
24	A Vida e Bela	5 de fevereiro de 1999	1h 56m
25	Papai Noel Trapalhao	19 de novembro de 2000	1h 32m
26	Viagem Ao Fundo Do Mar	12 de julho de 1961	1h 46m
27	Sonhos de Papel	15 de janeiro de 2015	1h 36m
28	Todo Poderoso	6 de junho de 2003	1h 41m
29	Dirty Dancing: Ritmo Quente	25 de setembro de 1987	1h 37m
30	O Jovem Ivanhoe	null	null
31	O Leao	null	null
32	Um Homem e sua Alma	17 de fevereiro de 1951	1h 28m
33	Meu Pequeno Ladrao	18 de março de 1994	1h 36m
34	Corretores Do Amor	30 de julho de 1982	1h 45m
35	Meteoro	2009	
36	Sob A Mesma Lua	14 de novembro de 2008	1h 49m
37	The Cheetah Girls: Um Mundo	12 de agosto de 2008	1h 30m
38	Maquina Mortifera 2	7 de julho de 1989	1h 54m
39	Os Donos Da Noite (1989)	17 de novembro de 1989	1h 56m
40	Minha Namorada Favorita	30 de abril de 1942	1h 43m
41	Meu Melhor Amigo	20 de dezembro de 2006	1h 31m
42	Madre Tereza: Em Nome dos Pobres de Deus	5 de outubro de 1997	1h 35m
43	Por Amor de Benji	null	null
44	Ainda uma vez com Emoçao	11 de fevereiro de 1960	1h 32m
45	Zorro Contra o Imperio da Espada 	null	null
46	Ace: Uma Questao De Justiça	6 de maio de 2008	1h 40m
47	Quando O Amor Acontece	2018	1h 55m
