FK filme	FK genero
1	1
2	2
2	3
2	4
2	5
3	1
4	4
4	1
4	6
4	7
4	8
4	9
5	3
5	10
5	11
6	12
7	4
7	1
8	3
8	13
9	3
9	14
10	15
10	16
10	3
10	17
10	18
10	19
10	20
10	21
10	22
11	23
11	1
12	3
12	16
12	18
13	16
13	3
13	1
14	24
14	3
14	6
14	25
14	10
14	26
14	8
15	1
15	6
16	27
16	4
16	28
17	15
17	3
17	29
17	1
17	6
19	3
19	14
19	30
21	1
21	6
21	31
22	3
22	16
22	18
22	13
23	3
23	16
23	1
23	32
24	23
24	3
24	4
24	1
24	22
25	3
25	16
25	7
26	1
26	27
26	18
26	15
26	33
27	3
27	16
27	1
27	34
28	3
28	1
28	7
29	35
29	4
29	36
29	14
29	1
29	37
31	38
32	4
32	1
33	3
33	16
33	18
34	3
34	39
36	1
37	3
37	16
37	1
37	14
37	30
37	40
39	15
39	3
39	1
39	41
39	42
39	22
39	43
39	33
40	3
40	14
41	3
41	1
41	2
41	4
41	44
41	45
42	1
42	46
44	3
44	2
46	16
46	1
46	47
46	48
47	4
47	1
47	2
47	22
48	16
48	27
48	18
49	3
49	4
49	1
49	7
49	49
51	3
51	16
51	1
52	4
52	3
52	2
52	11
52	13
54	3
54	16
54	11
56	3
57	4
57	3
58	24
58	16
58	3
59	3
59	18
60	3
61	16
61	1
61	18
62	3
62	16
62	4
62	1
62	7
62	34
63	15
63	3
63	50
63	33
64	15
64	18
64	6
64	51
64	33
65	3
65	52
65	1
65	53
65	22
66	15
66	1
66	18
67	14
67	16
67	4
67	1
67	40
68	1
68	54
68	8
68	6
68	55
68	56
68	15
68	57
70	4
70	3
70	1
71	1
72	16
72	3
72	19
72	18
72	7
73	15
73	3
73	27
73	6
73	58
73	55
73	43
74	16
74	1
75	4
75	3
75	2
75	44
76	15
76	18
76	7
76	47
79	15
79	4
79	3
79	59
79	1
79	18
80	16
80	18
80	7
81	3
81	27
81	7
83	18
85	4
85	3
86	3
86	4
86	2
86	13
87	15
87	3
87	20
87	6
87	55
87	60
87	61
87	33
88	16
88	18
88	27
88	7
89	15
89	16
89	1
89	18
89	48
90	15
90	6
90	55
90	51
90	33
91	4
91	23
91	1
91	18
91	62
92	63
92	6
93	3
93	1
93	27
93	7
93	22
93	62
94	3
94	16
94	1
94	27
94	64
94	7
94	22
95	15
95	3
95	18
96	4
96	3
96	1
96	2
96	7
97	3
97	65
97	29
97	4
97	52
98	3
98	16
99	14
99	4
99	3
99	30
100	16
100	3
100	18
100	19
101	15
101	4
101	1
101	18
101	7
101	41
101	66
102	3
102	16
102	27
103	3
103	16
103	1
103	18
105	4
105	3
105	2
105	1
106	15
106	4
106	18
106	33
109	3
109	16
109	1
110	3
110	16
110	18
110	7
111	15
111	23
111	18
111	46
112	4
112	3
112	44
112	1
112	7
112	9
113	4
113	1
113	7
114	15
114	4
114	1
116	15
116	3
116	6
116	67
116	33
117	68
117	69
119	4
119	3
119	1
120	15
120	3
120	16
121	3
121	16
121	18
121	37
121	43
121	70
122	15
122	1
122	18
122	27
123	4
123	3
123	2
123	14
125	29
125	6
125	1
125	71
126	16
126	3
126	19
126	27
126	7
127	16
127	3
127	27
127	18
127	19
127	32
128	3
128	16
129	4
129	3
129	18
129	1
129	7
129	6
129	33
130	3
130	16
130	18
131	16
131	3
131	7
131	10
131	22
131	26
132	16
132	18
132	32
135	4
135	1
135	14
135	40
136	3
136	16
137	4
137	3
137	16
137	18
137	37
137	13
138	16
138	18
138	3
138	1
140	1
140	6
140	55
140	43
141	4
141	1
141	72
141	6
141	55
141	43
143	4
143	3
143	1
143	2
143	44
144	15
144	6
144	43
144	33
145	3
146	3
146	16
146	18
146	13
146	44
147	4
147	3
147	16
147	1
147	48
148	24
148	3
148	18
148	37
148	8
149	4
149	2
149	3
149	37
149	1
149	22
150	15
150	4
150	3
150	18
150	73
150	43
150	33
151	74
151	54
151	57
152	18
153	4
153	14
155	1
156	3
156	16
156	18
157	3
157	18
157	13
157	75
159	53
160	3
160	2
160	72
160	43
161	4
161	1
161	2
162	3
162	18
163	4
163	3
165	3
166	4
166	3
166	2
167	3
168	15
168	18
168	59
168	47
168	66
168	33
170	4
170	3
170	18
170	7
170	8
170	33
171	3
171	10
171	25
172	16
172	18
173	1
173	27
173	58
174	3
174	16
174	27
175	3
175	13
176	3
177	1
178	15
178	3
178	20
178	18
178	6
178	55
179	1
179	32
180	1
180	10
181	3
181	31
183	1
183	14
184	15
184	3
184	16
