ID Roterista	Nome Roterista
1	Howard Klausner
2	Pamela Falk
3	Michael Ellis
4	null
5	Mike Thompson
6	Brandon Camp
7	David Seltzer
8	Dale Launer
9	Bia Crespo
10	Flávia Guimarães
11	Jo Heims
12	Blake Edwards
13	Geoffrey Edwards
14	Jorge Furtado
15	Cláudio Lisboa
16	Jonathan Aibel
17	Glenn Berger
18	Tim Lovestedt
19	Annie Mumolo
20	Pamela Gray
21	Robert Vince
22	Anne Vince
23	Anna McRoberts
24	John Hughes
25	Amy Holden Jones
26	Dana Olsen
27	Benjamin August
28	Richard Stanley
29	Ron Hutchinson
30	Charles Brackett
31	Billy Wilder
32	Carlos Gregório
33	John Hopkins
34	Bruce Graham
35	Elan Mastai
36	Roberto Benigni
37	Vincenzo Cerami
38	Steve L. Hayes
39	Debra Frank
40	Steven L. Hayes
41	Robert Connolly
42	Steve Worland
43	Steve Oedekerk
44	Steve Koren
45	Mark O'Keefe
46	Eleanor Bergstein
47	Corra Mae Harris
48	Lamar Trotti
49	Henry King
50	Franco Amurri
51	Stu Krieger
52	Babaloo Mandel
53	Lowell Ganz
54	Ligiah Villalobos
55	Daniel Berendsen
56	Nisha Ganatra
57	Jen Small
58	Jeffrey Boam
59	Eddie Murphy
60	Darrell Ware
61	Karl Tunberg
62	Seton I. Miller
63	Ronald Bass
64	Dominique Lapierre
65	Jan Hartman
66	Carol Kaplan
67	Harry Kurnitz
68	Steven Rogers
69	Mark H. Baker
70	Michael Burton
71	Matt MacManus
72	Phil Joanou
73	Harold Ramis
74	Danny Rubin
75	Frank Tashlin
76	Harry Tugend
77	Hal Kanter
78	Nunnally Johnson
79	Adriano Stuart
80	Cassiano Gabus Mendes
81	Carlos Lombardi
82	Bob Kanter
83	Malcolm D. Lee
84	Mick Garris
85	Neil Cuthbert
86	Vincent Patrick
87	Richard Boddington
88	Gary Ross
89	Anne Spielberg
90	Darren Star
91	Sidney J. Furie
92	Kevin Alyn Elders
93	Karen Leigh Hopkins
94	Jim Thomas
95	John Thomas
96	Michael J. Henderson
97	Ernest Lehman
98	George Hurdalek
99	William Inge
100	Daniel Taradash
101	Seth Rogen
102	Evan Goldberg
103	David Titcher
104	Marco Schnabel
105	George MacDonald Fraser
106	Melissa Mathison
107	Dan Aykroyd
108	Rick Moranis
109	Antonio Carlos da Fontoura
110	Corey Michael Eubanks
111	Tim Herlihy
112	Robert Riskin
113	Edward Tang
114	Fibe Ma
115	George Lucas
116	Bob Carrau
117	Bill Walsh
118	Lillie Hayward
119	Casey Robinson
120	D. J. MacHale
121	David Saperstein
122	Tom Benedek
123	Matthew Robbins
124	Brad Bird
125	Brent Maddock
126	S. S. Wilson
127	Daniel Waters
128	Steven E. de Souza
129	Jerry Leichtling
130	Arlene Sarner
131	Jean Shepherd
132	Bob Clark
133	Leigh Brown
134	Leonard Gershe
135	Jerry Seinfeld
136	Barry Marder
137	Andy Robin
138	Spike Feresten
139	William Nicholson
140	Marilyn Sadler
141	Roger Bollen
142	Sheila Burnford
143	Julie Hickson
144	Chris Hauty
145	John Patrick Shanley
146	Borden Chase
147	Horace McCoy
148	Pierre Adidge
149	Robert Abel
150	Ernest Pascal
151	Walter Bullock
152	Ted Sherdeman
153	Sam Rolfe
154	Eddie Moran
155	Jack Jevne
156	Eric S. Hatch
157	Jim Cash
158	Jack Epps Jr.
159	Warren Skaaren
160	Yves Robert
161	Robert Klane
162	Francis Veber
163	Francis Edward Faragoh
164	Stewart Schill
165	Mike Werb
166	Michael Colleary
167	Claire-Dee Lim
168	Barry B. Longyear
169	Edward Khmara
170	Edmund Beloin
171	Henry Garson
172	Sérgio G. Sanchez
173	Sergio G. Sánchez
174	Phil Lord
175	Chris Miller
176	Rob Greenberg
177	David Soren
178	Darren Lemke
179	Robert Siegel
180	Don Rhymer
181	Mark Christopher
182	Stuart Beattie
183	Deanna Oliver
184	Sherri Stoner
185	Seymour Reit
186	Jeanne Rosenberg
187	Walter Murch
188	William D. Wittliff
189	Sy Gomberg
190	George Wells
191	Eddie Guzelian
192	Caroline Thompson
193	Linda Woolverton
194	Jonathan Roberts
195	Guerdon Trueblood
196	Doug Jung
197	Alan Trustman
198	Charles Wood
199	Charlie Fletcher
200	Walter Bernstein
201	James Jeremias
202	Janice Fischer
203	Cameron Crowe
204	Charles Shyer
205	Robert L. Levy
206	James Lee Barrett
207	Alan Mandel
208	Alexi Kaye Campbell
209	A. I. Bezzerides
210	Brian Hooker
211	Herman J. Mankiewicz
212	Dorothy Kingsley
213	Allen Boretz
214	Frank Waldman
215	Marcos Bernstein
216	Melanie Dimantas
217	Hervé Palud
218	Thierry Lhermitte
219	Bruce A. Evans
220	Raynold Gideon
221	Bonnie Turner
222	Fred Wolf
223	Terry Turner
224	Martin Brest
225	Peter Sattler
226	Larry Gelbart
227	Lenore Coffee
228	Marion Hargrove
229	Guel Arraes
230	Thalita Rebouças
231	Tati Ingrid Adão
232	William Bowers
233	Eric Wald
234	Gregory Poppen
235	Sam Resnick
236	John McGrath
237	Mario Andreacchio
238	Michael Bourchier
239	Mark Saltzman
240	Ivan Menchell
241	Gerald Di Pego
242	Alan Ormsby
243	George Baker
244	Nate Monaster
245	Sabrina Garcia
246	Rodrigo Goulart
247	Leandro Muniz
248	Steven Conrad
249	Jackie Chan
250	Paul Clay
251	Barry Haigh
252	Sylvester Stallone
253	Andrew Bergman
254	Lester Cole
255	George Bruce
256	Robert Burke
257	Robert Karl Burke
258	Carol Black
259	Jesse L. Lasky Jr.
260	David Lindsay-Abaire
261	Ron Clements
262	John Musker
263	Terry Rossio
264	Ted Elliott
265	Steven Long Mitchell
266	Craig W. Van Sickle
267	George Gallo
268	Marjorie Lawrence
269	William Ludwig
270	Sonya Levien
271	Christian Vuissa
272	Aurania Rouverol
273	Carey Wilson
274	David O. Russell
275	Daniel Barnz
276	Brin Hill
277	Evgeniy Emelin
278	John Hamburg
279	Jim Herzfeld
280	Chris Denk
281	Scott Clevenger
282	Timothy Wayne Peternel
283	Alan Alda
284	Convite à Dança
285	Dan Schneider
286	Marc Stirdivant
287	Mickey Rose
288	Robert Sheckley
289	Deborah Kaplan
290	Adam Sztykiel
291	Harry Elfont
292	Robert Pulcini
293	Shari Springer Berman
294	Cara Lockwood
295	Eric C. Charmelo
296	Nicole Snyder
297	Jerome Armstrong
298	Billy Ray
299	Douglas Day Stewart
300	Lea Schmidbauer
301	Kristina Magdalena Henn
302	J. J. Abrams
303	Jill Mazursky
304	Stephen Black
305	Henry Stern
306	Stanley Shapiro
307	Oscar Brodney
308	Robert Harling
309	Paul Rudnick
310	Jill Craigie
311	Rod Amateau
312	Nora Ephron
313	Adam McKay
314	Delia Ephron
315	Phil Johnston
316	Pamela Wallace
317	Rowdy Herrington
318	Marty Kaplan
319	David Simkins
320	Robert V. Barron
321	George Tibbles
322	Harry Brown
323	Jymn Magon
324	Thomas Hart
325	Michael Haneke
326	Diego Muller
327	Davi Pires
328	Tia Brelis
329	Gregory Widen
330	Larry Ferguson
331	Peter Bellwood
332	Thomas Meehan
333	Garry Michael White
334	Fred Weintraub
335	Danielle Steel
336	Robert Eisele
337	Stefan Barth
338	Charles M. Schulz
339	Todd Komarnicki
340	Boaz Yakin
341	Ed Solomon
342	Edward Ricourt
343	Lars Gudmestad
344	Erik Sommers
345	Chris McKenna
346	Karey Kirkpatrick
347	Lorne Cameron
348	Len Blum
349	David Hoselton
350	Jim Fall
351	Barbara Kymlicka
352	Ronny Graham
353	Ruth Rose
354	Mark Rosenthal
355	Lawrence Konner
356	Les Weldon
357	Daniel Truly
358	Andrew Dettmann
359	Barry W. Blaustein
360	David Sheffield
361	Paul Hogan
362	John Cornell
363	Ken Shadie
364	Erich Segal
365	Yoni Brenner
366	Carlos Kotkin
367	Jenny Bicks
368	Kim Fuller
369	Bill Peet
370	William Goldman
371	Jerome Chodorov
372	Joseph Fields
373	Paul Mooney
374	Sara Bernstein
375	Ziggy Steinberg
376	Robert Zemeckis
377	Bob Gale
378	PJ Torokvei
379	Gideon Defoe
380	Michael Lucker
381	Roger S.H. Schulman
382	Chris Parker
383	Walter Hill
384	Larry Gross
385	Michelle Lovretta
386	Paul Newman
387	Ronald Buck
388	Robert E. Kent
389	Betty Comden
390	Adolph Green
391	Federico Fellini
392	Bernardino Zapponi
393	David Andrew Goldstein
394	David Benullo
395	Paul Mayhew-Archer
396	Richard Curtis
397	Fabio Piccioni
398	John Bryant
399	Stuart Gillard
400	Rob Hudnut
401	Linda Engelsiepen
402	Hilary Hinkle
403	Robert M. Young
404	Robert Malcolm Young
405	Tong Lung
406	Derek Lowe
407	Anthony Patrick Wong
408	Lisa Mulcahy
409	Nadadja Kemper
410	Gwen Eckhaus
411	Flávio de Souza
412	James Dixon
413	William Brookfield
414	Paul Bernbaum
415	Norm Prescott
416	Fred Ladd
417	Bernard Evslin
418	Charles Goddard
419	Albert Beich
420	Shin Sang-ok
421	Edward Emanuel
422	Mel Brooks
423	Barry Levinson
424	Rudy De Luca
425	Ron Clark
426	Richard Murphy
427	Herbert H. Margolis
428	William Raynor
429	Myles Connolly
430	Paul Gangelin
431	Jan de Bont
432	Graham Yost
433	Randall McCormick
434	Jeff Nathanson
435	Hugh Lofting
436	Nina Colman
437	Steven Pressfield
438	Alan Hackney
439	Oliver Sacks
440	Steve Levitt
441	Adam Rifkin
442	Andrew Stanton
443	Pete Docter
444	Jim Reardon
445	Hal Fimberg
446	Ben Starr
447	Frank Tarloff
448	S. H. Barnett
449	Peter Stone
